지역,2018-01(평균매매가격),2018-01(평균단위당매매가격),2018-01(중위매매가격),2018-01(중위단위당매매가격),2018-02(평균매매가격),2018-02(평균단위당매매가격),2018-02(중위매매가격),2018-02(중위단위당매매가격),2018-03(평균매매가격),2018-03(평균단위당매매가격),2018-03(중위매매가격),2018-03(중위단위당매매가격),2018-04(평균매매가격),2018-04(평균단위당매매가격),2018-04(중위매매가격),2018-04(중위단위당매매가격),2018-05(평균매매가격),2018-05(평균단위당매매가격),2018-05(중위매매가격),2018-05(중위단위당매매가격),2018-06(평균매매가격),2018-06(평균단위당매매가격),2018-06(중위매매가격),2018-06(중위단위당매매가격),2018-07(평균매매가격),2018-07(평균단위당매매가격),2018-07(중위매매가격),2018-07(중위단위당매매가격),2018-08(평균매매가격),2018-08(평균단위당매매가격),2018-08(중위매매가격),2018-08(중위단위당매매가격),2018-09(평균매매가격),2018-09(평균단위당매매가격),2018-09(중위매매가격),2018-09(중위단위당매매가격),2018-10(평균매매가격),2018-10(평균단위당매매가격),2018-10(중위매매가격),2018-10(중위단위당매매가격),2018-11(평균매매가격),2018-11(평균단위당매매가격),2018-11(중위매매가격),2018-11(중위단위당매매가격),2018-12(평균매매가격),2018-12(평균단위당매매가격),2018-12(중위매매가격),2018-12(중위단위당매매가격),2019-01(평균매매가격),2019-01(평균단위당매매가격),2019-01(중위매매가격),2019-01(중위단위당매매가격),2019-02(평균매매가격),2019-02(평균단위당매매가격),2019-02(중위매매가격),2019-02(중위단위당매매가격),2019-03(평균매매가격),2019-03(평균단위당매매가격),2019-03(중위매매가격),2019-03(중위단위당매매가격),2019-04(평균매매가격),2019-04(평균단위당매매가격),2019-04(중위매매가격),2019-04(중위단위당매매가격),2019-05(평균매매가격),2019-05(평균단위당매매가격),2019-05(중위매매가격),2019-05(중위단위당매매가격),2019-06(평균매매가격),2019-06(평균단위당매매가격),2019-06(중위매매가격),2019-06(중위단위당매매가격),2019-07(평균매매가격),2019-07(평균단위당매매가격),2019-07(중위매매가격),2019-07(중위단위당매매가격),2019-08(평균매매가격),2019-08(평균단위당매매가격),2019-08(중위매매가격),2019-08(중위단위당매매가격),2019-09(평균매매가격),2019-09(평균단위당매매가격),2019-09(중위매매가격),2019-09(중위단위당매매가격),2019-10(평균매매가격),2019-10(평균단위당매매가격),2019-10(중위매매가격),2019-10(중위단위당매매가격),2019-11(평균매매가격),2019-11(평균단위당매매가격),2019-11(중위매매가격),2019-11(중위단위당매매가격),2019-12(평균매매가격),2019-12(평균단위당매매가격),2019-12(중위매매가격),2019-12(중위단위당매매가격),2020-01(평균매매가격),2020-01(평균단위당매매가격),2020-01(중위매매가격),2020-01(중위단위당매매가격),2020-02(평균매매가격),2020-02(평균단위당매매가격),2020-02(중위매매가격),2020-02(중위단위당매매가격),2020-03(평균매매가격),2020-03(평균단위당매매가격),2020-03(중위매매가격),2020-03(중위단위당매매가격),2020-04(평균매매가격),2020-04(평균단위당매매가격),2020-04(중위매매가격),2020-04(중위단위당매매가격),2020-05(평균매매가격),2020-05(평균단위당매매가격),2020-05(중위매매가격),2020-05(중위단위당매매가격),2020-06(평균매매가격),2020-06(평균단위당매매가격),2020-06(중위매매가격),2020-06(중위단위당매매가격)
전국,14388,656,10712,620,14389,656,10697,621,14406,656,10700,619,14452,656,10700,620,14458,655,10700,620,14451,654,10647,620,14445,654,10647,617,14415,653,10647,617,14410,653,10647,616,14404,652,10647,615,14386,652,10647,613,14360,651,10642,613,14345,651,10642,612,14332,650,10643,612,14330,649,10643,609,14318,649,10641,607,14329,648,10636,607,14324,647,10689,606,14279,647,10687,605,14286,647,10687,605,14275,646,10687,605,14274,646,10687,604,14279,645,10687,604,14279,645,10678,604,14278,645,10676,604,14274,645,10694,606,14270,645,10671,606,14263,645,10670,606,14250,644,10670,606,14242,644,10670,604
수도권,15033,699,11299,664,15035,699,11299,665,15062,699,11299,663,15126,699,11299,664,15141,699,11299,664,15132,698,11233,664,15127,697,11233,661,15114,697,11233,661,15111,697,11233,659,15111,696,11233,658,15089,696,11233,657,15065,696,11233,656,15061,695,11233,656,15045,694,11233,656,15042,693,11233,653,15038,693,11233,650,15054,692,11233,650,15055,692,11299,649,15005,691,11299,649,15015,691,11299,649,15002,691,11299,649,15000,690,11299,648,15004,690,11299,648,15006,690,11299,648,15006,690,11299,648,15006,690,11299,650,15005,690,11299,651,15001,690,11299,651,14988,690,11299,650,14992,689,11299,649
지방,11691,476,8259,436,11687,476,8181,436,11658,475,8193,435,11631,474,8193,435,11604,473,8193,435,11600,472,8193,433,11593,471,8193,433,11492,470,8193,432,11479,469,8193,432,11447,468,8193,431,11445,467,8193,429,11410,466,8170,429,11350,466,8170,429,11348,465,8174,427,11351,465,8174,425,11307,464,8163,425,11295,463,8139,425,11265,462,8135,424,11239,461,8129,421,11239,460,8129,421,11235,460,8129,421,11234,459,8129,420,11249,458,8129,420,11238,458,8082,419,11233,457,8070,419,11212,456,8165,419,11196,456,8047,419,11174,454,8042,418,11161,452,8042,418,11107,452,8042,418
서울,19211,774,12995,732,19214,774,12995,735,19277,774,12995,731,19467,774,12995,732,19490,774,12995,732,19488,774,12870,732,19491,774,12870,729,19455,774,12870,729,19465,774,12870,728,19497,773,12870,728,19482,773,12870,728,19481,772,12870,727,19493,772,12870,726,19483,771,12870,725,19484,771,12870,723,19476,770,12870,723,19508,770,12870,723,19525,770,12995,722,19511,769,12995,722,19429,769,12995,722,19429,769,12995,722,19427,769,12995,722,19428,769,12995,721,19428,769,12995,721,19429,770,12995,721,19431,770,12995,722,19431,770,12995,723,19424,770,12995,722,19423,770,12995,722,19444,770,12995,722
서울 도심권,12051,967,12963,907,11952,967,12963,912,12051,967,12963,907,12030,966,12963,907,11931,965,12963,907,11931,964,12963,907,11931,964,12963,907,11931,965,12963,907,12030,962,12963,907,12237,960,12963,907,12237,956,12963,907,12237,954,12963,904,12435,953,12963,904,12433,953,12963,904,12435,951,12963,904,12435,951,12963,904,12435,952,12963,903,12435,951,12963,900,12430,952,12963,901,12440,950,12963,898,12438,950,12963,898,12438,949,12963,895,12438,947,12963,891,12423,946,12963,891,12444,946,12963,891,12444,947,12963,891,12444,947,12963,891,12444,946,12963,889,12444,946,12963,889,12641,945,12963,889
서울 동북권,10330,595,10000,603,10330,596,10000,603,10330,596,10000,603,10330,596,10000,603,10326,596,10000,603,10367,597,10000,603,10367,597,10000,603,10367,598,10000,603,10367,599,10000,605,10367,600,10000,605,10367,600,10000,605,10367,600,10000,605,10367,599,10000,605,10353,599,10000,605,10353,598,10000,604,10344,598,10000,603,10342,598,10000,603,10346,598,10000,603,10346,598,10000,603,10346,598,10000,603,10346,598,10000,603,10346,597,10000,603,10354,597,10000,603,10354,597,10000,603,10354,597,10000,603,10372,597,10000,603,10372,597,10000,603,10372,597,10000,603,10372,597,10000,603,10381,597,10000,603
서울 서북권,12588,749,12906,736,12588,750,12906,736,12940,751,12906,736,14345,747,12906,736,14345,748,12906,736,14327,747,11937,736,14327,747,11937,724,14234,747,11937,724,14234,747,11937,724,14234,747,11937,724,14199,747,11937,724,14199,745,11937,719,14138,744,11937,719,14138,743,11937,719,14138,743,11937,703,14094,743,11937,703,14317,742,11937,703,14442,741,12906,703,14359,740,12906,703,14359,740,12906,703,14359,739,12906,703,14359,739,12906,703,14359,739,12906,703,14359,740,12906,703,14359,740,12906,703,14359,741,12906,705,14359,741,12906,711,14359,740,12906,711,14359,740,12906,711,14359,740,12906,711
서울 서남권,21903,677,14579,649,21921,677,14579,649,21943,676,14579,646,21935,676,14579,646,21924,676,14579,646,21907,676,14579,646,21917,676,14579,646,21768,676,14579,644,21768,676,14579,644,21767,676,14579,644,21787,676,14579,644,21784,676,14579,644,21784,676,14579,642,21763,676,14579,637,21763,675,14579,639,21761,675,14579,639,21773,675,14579,639,21773,674,14579,639,21765,674,14579,639,21524,674,14579,639,21524,674,14579,639,21517,674,14579,639,21516,674,14579,639,21521,674,14579,639,21518,674,14579,639,21516,674,14579,639,21516,674,14579,640,21505,674,14579,640,21504,674,14579,640,21504,674,14579,640
서울 동남권,25937,923,12637,832,25961,924,12637,840,25961,923,12637,832,26010,924,12637,836,26143,923,12637,836,26143,923,12637,836,26143,923,12637,832,26234,923,12637,832,26234,923,12637,829,26276,922,12637,829,26215,922,12637,829,26215,921,12637,827,26215,921,12637,827,26215,921,12637,827,26215,920,12637,827,26214,919,12637,827,26214,918,12637,827,26212,918,12637,827,26212,917,12637,826,26212,919,12637,827,26212,919,12637,827,26212,919,12637,827,26212,920,12637,827,26212,920,12637,827,26212,921,12637,827,26212,922,12637,827,26212,922,12637,827,26200,923,12637,826,26200,923,12637,826,26199,923,12637,826
부산,13662,493,9378,446,13650,493,9237,446,13625,493,9237,446,13607,491,9237,446,13572,491,9237,446,13571,489,9237,444,13567,489,9237,444,13554,488,9237,444,13540,487,9237,444,13521,487,9237,444,13520,486,9237,441,13500,485,9237,441,13418,484,9237,441,13413,484,9237,439,13412,483,9237,436,13357,483,9237,436,13351,482,9237,436,13311,481,9237,436,13277,481,9237,434,13276,480,9237,434,13272,480,9237,434,13270,479,9237,434,13266,479,9237,434,13262,478,9237,434,13261,478,9237,434,13235,477,9237,434,13232,477,9237,434,13199,475,9237,434,13182,473,9237,434,13101,473,9237,434
